id,name,chassis_value
1,Logrian Slinger,6.73
2,Standard,8.28
3,Serpent Cataphract,12.83
4,Serpent,26.22
5,Serpent Lord,20.0
6,Emerald Lord,20.16
7,Emerald Guard,14.52
8,Elephant Spearman,8.07
9,High Priest of C'tis,24.6
10,Projection,7.8
11,Retiarius,20.67
12,Gladiator,15.03
13,Hoplite Commander,16.54
14,Hoplite,9.53
15,Hypaspist Commander,16.13
16,Hypaspist,12.67
17,Archer,5.0
18,Militia,5.0
19,Heavy Cavalry,9.2
20,Heavy Cavalry,7.67
21,Heavy Cavalry,9.2
22,Knight,14.0
23,Knight Commander,18.04
24,Light Cavalry,9.2
25,Light Cavalry,9.2
26,Light Cavalry,9.2
27,Centaur,22.68
28,Light Infantry,7.67
29,Light Infantry,9.2
30,Militia,5.0
31,Militia,5.0
32,Archer,5.0
33,Archer,5.0
34,Commander,6.9
35,Commander,6.9
36,Commander,6.9
37,Master of the Games,21.6
38,Heavy Infantry,7.67
39,Heavy Infantry,6.9
40,Heavy Infantry,6.9
41,Arch Theurg,69.3
42,Theurg,40.74
43,Theurg Acolyte,18.3
44,Mounted Commander,6.9
45,Mounted Commander,6.9
46,Mounted Commander,6.9
47,Crossbowman,5.0
48,Crossbowman,5.0
49,Crossbowman,5.0
50,Slinger,5.0
51,Battle Vestal,20.4
52,Battle Deacon,20.7
53,Logrian Warrior,10.3
54,Castellan,9.57
55,Longbowman,6.12
56,Royal Forester,13.78
57,Knight of Man,18.04
58,Knight of the Stone,30.68
59,Longbowman,8.28
60,Monk,12.45
61,Spearman,7.67
62,Longspear,8.43
63,Tower Guard,8.7
64,Knight of Avalon,38.48
65,Warden of Avalon,32.07
66,Guardian,14.0
67,Infantry of Ulm,8.43
68,Black Plate Infantry,8.43
69,Black Knight,19.68
70,Black Lord,22.88
71,Infantry of Ulm,8.43
72,Black Plate Infantry,8.43
73,Infantry of Ulm,7.59
74,Black Plate Infantry,7.59
75,Infantry of Ulm,8.43
76,Black Plate Infantry,8.43
77,Infantry of Ulm,7.59
78,Black Plate Infantry,7.59
79,Pikeneer,9.28
80,Black Plate Pikeneer,9.28
81,Abysian Infantry,12.0
82,Abysian Infantry,12.0
83,Abysian Infantry,10.8
84,Abysian Infantry,10.8
85,Anathemant Salamander,41.76
86,Anathemant Dragon,62.76
87,Demonbred,62.1
88,Fiend of Darkness,41.04
89,Warlock,39.96
90,Lava Warrior,32.29
91,Heavy Cavalry,9.2
92,Cloud Mage,6.3
93,Wind Master,11.97
94,Conjurer,9.3
95,Circle Master,19.5
96,Azure Initiate,6.3
97,Azure Mage,11.97
98,Pyromancer,6.3
99,Adept of Pyriphlegeton,25.67
100,Adept of the Silver Order,20.97
101,Adept of the Golden Order,23.1
102,Initiate of the Deep,5.0
103,Hydromancer,20.97
104,Deep Seer,42.69
105,Woodhenge Druid,18.3
106,Shadow Seer,23.94
107,Atlantian Light Infantry,8.07
108,Coral Guard,13.6
109,Dagon,229.16
110,Atlantian Militia,5.0
111,Atlantian Shield Bearer,8.07
112,Coral Queen,59.4
113,Lord Guardian,17.77
114,Commander of Ulm,10.44
115,Commander of Ulm,10.44
116,Commander of Ulm,10.44
117,Commander of Ulm,10.44
118,War Master,27.54
119,Warlord,22.68
120,Moloch,181.15
121,Demonbred,71.1
122,Bloodhenge Druid,14.97
123,Wolf Tribe Archer,9.36
124,Wolf Tribe Warrior,9.36
125,Woodsman Blowpipe,6.12
126,Woodsman,6.12
127,Blizzard Warrior,6.48
128,Spire Horn Archer,6.48
129,Spire Horn Militia,5.0
130,Airya Light Infantry,6.0
131,Spire Horn Warrior,6.67
132,Iceclad,7.8
133,Man at Arms,8.7
134,Royal Guard,18.04
135,Knight of the Chalice,34.08
136,Horse Tribe Chief,14.0
