id,name,commander,capital_only,hp,prot,mr,mor,str,att,def,prec,enc,mapmove,ap,size,ressize,basecost,rcost,reclimit,rt,leader,undeadleader,magicleader,startage,maxage,F,A,W,E,S,D,N,G,B,H,rand1,nbr1,link1,mask1,rand2,nbr2,link2,mask2,rand3,nbr3,link3,mask3,rand4,nbr4,link4,mask4,wpn1,wpn2,wpn3,wpn4,wpn5,wpn6,wpn7,armor1,armor2,armor3,armor4,resources,mountmnr,reinvigoration,awe,fear,berserk,darkvision,heat,cold,poisonres,fireres,coldres,shockres,slashres,bluntres,pierceres,acidres,regeneration,iceprot,invulnerable,fireshield,banefireshield,standard,inspirational,taskmaster,beastmaster,bodyguard,supplybonus,patrolbonus,pillagebonus,siegebonus,researchbonus,castledef,stealthy,taxcollector,alch,forgebonus,nametype,keywords
1,Logrian Slinger,False,False,12,0,10,10,11,9,9,10,3,14,12,3,3,10009,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,22,,,,,,6,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Standard,False,False,10,0,10,10,10,10,10,10,3,18,12,3,3,10020,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,,,,,,116,127,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,standard
3,Serpent Cataphract,False,False,12,0,10,12,12,12,12,10,3,18,12,3,3,10015,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,,,,,,,126,14,2,,,3536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swampsurvival
5,Serpent Lord,True,False,15,0,11,15,13,14,13,10,3,18,12,3,3,10020,1,,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,,,,,,,126,14,2,,,3536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Emerald Lord,True,False,15,0,12,16,13,15,14,10,3,18,12,3,3,10030,1,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,126,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Emerald Guard,False,False,13,0,10,14,12,13,12,10,3,18,12,3,3,10020,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,126,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,bodyguard
9,High Priest of C'tis,True,False,11,5,16,11,10,9,9,10,4,12,9,3,3,10010,1,,1,50,10,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,29,,,,,,,286,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"holy, coldblood, swampsurvival, swimming"
11,Retiarius,False,False,12,0,10,14,12,11,13,10,3,14,10,3,3,10,-13,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,3,,,,,,7,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Gladiator,False,False,12,0,10,14,12,11,13,10,3,14,10,3,3,10,-13,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,7,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Hoplite Commander,True,False,13,0,10,13,12,12,12,10,2,16,12,3,3,10015,1,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,14,123,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formationfighter
14,Hoplite,False,False,11,0,10,11,11,11,10,10,3,16,12,3,3,10013,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,14,123,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formationfighter
15,Hypaspist Commander,True,False,13,0,10,14,12,12,13,10,3,16,13,3,3,10010,1,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,9,123,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formationfighter
16,Hypaspist,False,False,11,0,10,13,11,11,12,10,3,16,13,3,3,10016,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,9,123,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formationfighter
22,Knight,False,False,11,0,10,13,11,11,11,10,3,14,12,3,3,10015,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,18,21,3,,,3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Knight Commander,True,False,12,0,10,14,12,12,12,10,3,14,12,3,3,10020,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,,,,,,18,21,3,,,3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Centaur,False,False,20,3,13,11,13,10,13,12,3,20,30,5,3,10025,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,55,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,109,"forestsurvival, stealthy"
41,Arch Theurg,True,True,8,0,17,14,10,12,12,12,3,14,10,3,3,10010,1,,2,10,,,,,,2,1,,3,,,,,3,100,1,1,2944,10,1,1,2944,,,,,,,,,7,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holy
42,Theurg,True,False,9,0,15,13,10,11,10,10,3,14,10,3,3,10010,1,,1,10,,,,,,1,1,,2,,,,,2,,,,,,,,,,,,,,,,,12,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holy
43,Theurg Acolyte,True,False,10,0,13,12,10,8,8,8,3,14,10,3,3,10010,1,,1,10,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holy
46,Mounted Commander,True,False,11,0,10,11,10,10,10,10,3,14,12,3,3,10010,1,,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,6,20,,,,3513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Slinger,False,False,10,0,10,7,10,8,8,10,4,12,12,3,3,10007,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,22,,,,,,5,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Battle Vestal,False,True,9,0,11,12,9,12,13,10,3,18,13,3,3,10012,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"holy, female"
52,Battle Deacon,True,False,11,0,12,12,10,11,11,10,3,18,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,12,,,,,,,9,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holy
53,Logrian Warrior,False,False,12,0,10,11,11,11,10,10,3,14,12,3,3,10012,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,21,,,,,,16,118,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Castellan,True,False,12,0,10,12,10,11,11,10,3,14,12,3,3,10010,1,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,13,118,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
